Reference_PC,Age
GBD_18_B50_C1_O_0028,5.0
GBD_18_B50_C1_O_0029,5.0
GBD_18_B50_C1_O_0031,4.0
GBD_18_B50_C1_O_0032,4.0
GBD_18_B50_C1_O_0033,4.0
GBD_18_B50_C1_O_0034,5.0
GBD_18_B50_C1_O_0035,5.0
GBD_18_B50_C1_O_0036,7.0
GBD_18_B50_C1_O_0037,8.0
GBD_18_B50_C1_O_0038,5.0
GBD_18_B50_C1_O_0039,6.0
GBD_18_B50_C1_O_0040,8.0
GBD_18_B50_C1_O_0041,6.0
GBD_18_B50_C1_O_0042,4.0
GBD_18_B50_C1_O_0043,4.0
GBD_18_B50_C1_O_0044,5.0
GBD_18_B50_C1_O_0047,6.0
GBD_18_B50_C1_O_0048,5.0
GBD_18_B50_C1_O_0049,5.0
GBD_18_B50_C1_O_0050,6.0
GBD_18_B50_C1_O_0051,4.0
GBD_18_B50_C1_O_0052,4.0
GBD_18_B50_C1_O_0053,5.0
GBD_18_B50_C1_O_0054,6.0
GBD_18_B50_C1_O_0055,4.0
GBD_18_B50_C1_O_0056,5.0
GBD_18_B50_C1_O_0057,4.0
GBD_18_B50_C1_O_0058,4.0
GBD_18_B50_C1_O_0059,4.0
GBD_18_B50_C1_O_0060,4.0
GBD_18_B50_C1_O_0061,8.0
GBD_18_B50_C1_O_0062,5.0
GBD_18_B50_C1_O_0063,4.0
GBD_18_B50_C1_O_0064,6.0
GBD_18_B50_C1_O_0065,5.0
GBD_18_B50_C1_O_0066,4.0
GBD_18_B50_C1_O_0067,4.0
GBD_18_B50_C1_O_0068,4.0
GBD_18_B50_C1_O_0069,4.0
GBD_18_B50_C1_O_0070,8.0
GBD_18_B50_C1_O_0071,5.0
GBD_18_B50_C1_O_0072,5.0
GBD_18_B50_C1_O_0073,3.0
GBD_18_B50_C1_O_0074,5.0
GBD_18_B50_C1_O_0075,2.0
GBD_18_B50_C1_O_0076,6.0
GBD_18_B50_C1_O_0077,5.0
GBD_18_B50_C1_O_0078,4.0
GBD_18_B50_C1_O_0079,5.0
GBD_18_B50_C1_O_0080,5.0
GBD_18_B50_C1_O_0081,4.0
GBD_18_B50_C1_O_0082,4.0
GBD_18_B50_C1_O_0083,4.0
GBD_18_B50_C1_O_0084,4.0
GBD_18_B50_C1_O_0085,4.0
GBD_18_B50_C1_O_0086,4.0
GBD_18_B50_C1_O_0087,2.0
GBD_18_B50_C1_O_0088,2.0
GBD_18_B50_C1_O_0089,5.0
GBD_18_B50_C1_O_0090,2.0
GBD_18_B50_C1_O_0091,3.0
GBD_18_B50_C1_O_0092,4.0
GBD_18_B50_C1_O_0093,4.0
GBD_18_B50_C1_O_0094,3.0
GBD_18_B50_C1_O_0095,4.0
GBD_18_B50_C1_O_0096,3.0
GBD_18_B50_C1_O_0097,4.0
GBD_18_B50_C1_O_0098,5.0
GBD_18_B50_C1_O_0099,3.0
GBD_18_B50_C1_O_0100,7.0
GBD_18_B50_C1_O_0101,4.0
GBD_18_B50_C1_O_0102,3.0
GBD_18_B50_C1_O_0103,3.0
GBD_18_B50_C1_O_0104,2.0
GBD_18_B50_C1_O_0105,4.0
GBD_18_B50_C1_O_0106,4.0
GBD_18_B50_C1_O_0107,6.0
GBD_18_B50_C1_O_0108,4.0
GBD_18_B50_C1_O_0109,3.0
GBD_18_B50_C1_O_0110,4.0
GBD_18_B50_C1_O_0111,3.0
GBD_18_B50_C1_O_0112,4.0
GBD_18_B50_C1_O_0113,4.0
GBD_18_B50_C1_O_0114,4.0
GBD_18_B50_C1_O_0115,4.0
GBD_18_B50_C1_O_0116,4.0
GBD_18_B50_C1_O_0117,4.0
GBD_18_B50_C1_O_0118,9.0
GBD_18_B50_C1_O_0120,3.0
GBD_18_B50_C1_O_0121,4.0
GBD_18_B50_C1_O_0122,4.0
GBD_18_B50_C1_O_0123,4.0
GBD_18_B50_C1_O_0124,4.0
GBD_18_B50_C1_O_0125,4.0
GBD_18_B50_C1_O_0126,3.0
GBD_18_B50_C1_O_0127,4.0
GBD_18_B50_C1_O_0128,4.0
GBD_18_B50_C1_O_0129,4.0
GBD_18_B50_C1_O_0130,5.0
GBD_18_B50_C1_O_0131,5.0
GBD_18_B50_C1_O_0132,5.0
GBD_18_B50_C1_O_0133,4.0
GBD_18_B50_C1_O_0134,5.0
GBD_18_B50_C1_O_0135,6.0
GBD_18_B50_C1_O_0136,3.0
GBD_18_B50_C1_O_0137,2.0
GBD_18_B52_C1_O_0001,4.0
GBD_18_B52_C1_O_0002,4.0
GBD_18_B52_C1_O_0003,7.0
GBD_18_B52_C1_O_0004,5.0
GBD_18_B52_C1_O_0005,6.0
GBD_18_B52_C1_O_0006,4.0
GBD_18_B52_C1_O_0007,4.0
GBD_18_B52_C1_O_0008,5.0
GBD_18_B52_C1_O_0009,4.0
GBD_18_B52_C1_O_0010,4.0
GBD_18_B52_C1_O_0011,5.0
GBD_18_B52_C1_O_0012,3.0
GBD_18_B52_C1_O_0013,4.0
GBD_18_B52_C1_O_0014,3.0
GBD_18_B52_C1_O_0015,4.0
GBD_18_B52_C1_O_0016,5.0
GBD_18_B52_C1_O_0017,4.0
GBD_18_B52_C1_O_0018,3.0
GBD_18_B52_C1_O_0019,4.0
GBD_18_B52_C1_O_0020,2.0
GBD_18_B52_C1_O_0021,4.0
GBD_18_B52_C1_O_0022,5.0
GBD_18_B52_C1_O_0023,3.0
GBD_18_B52_C1_O_0026,5.0
GBD_18_B52_C1_O_0027,5.0
GBD_18_B52_C1_O_0028,-1.0
GBD_18_B52_C1_O_0029,3.0
GBD_18_B52_C1_O_0030,4.0
GBD_18_B52_C1_O_0031,4.0
GBD_18_B52_C1_O_0032,2.0
GBD_18_B52_C1_O_0034,5.0
GBD_18_B52_C1_O_0035,5.0
GBD_18_B52_C1_O_0036,6.0
GBD_18_B52_C1_O_0037,4.0
GBD_18_B52_C1_O_0038,4.0
GBD_18_B52_C1_O_0039,6.0
GBD_18_B52_C1_O_0040,5.0
GBD_18_B52_C1_O_0041,6.0
GBD_18_B52_C1_O_0042,4.0
GBD_18_B52_C1_O_0044,4.0
GBD_18_B52_C1_O_0050,2.0
GBD_18_B52_C1_O_0053,3.0
GBD_18_B52_C1_O_0055,4.0
GBD_18_B52_C1_O_0056,3.0
GBD_18_B52_C1_O_0057,4.0
GBD_18_B52_C1_O_0058,3.0
GBD_18_B52_C1_O_0059,4.0
GBD_18_B52_C1_O_0060,4.0
GBD_18_B52_C1_O_0061,4.0
GBD_18_B52_C1_O_0062,3.0
GBD_18_B52_C1_O_0063,4.0
GBD_18_B52_C1_O_0064,4.0
GBD_18_B52_C1_O_0065,5.0
GBD_18_B52_C1_O_0066,2.0
GBD_18_B52_C1_O_0067,5.0
GBD_18_B52_C1_O_0068,3.0
GBD_18_B52_C1_O_0069,4.0
GBD_18_B52_C1_O_0070,3.0
GBD_18_B52_C1_O_0071,4.0
GBD_18_B52_C1_O_0072,4.0
GBD_18_B52_C1_O_0073,3.0
GBD_18_B52_C1_O_0074,4.0
GBD_18_B52_C1_O_0075,4.0
GBD_18_B52_C1_O_0076,4.0
GBD_18_B52_C1_O_0077,3.0
GBD_18_B53_C1_O_0001,5.0
GBD_18_B53_C1_O_0002,4.0
GBD_18_B53_C1_O_0003,5.0
GBD_18_B53_C1_O_0004,4.0
GBD_18_B53_C1_O_0005,4.0
GBD_18_B53_C1_O_0006,5.0
GBD_18_B53_C1_O_0007,5.0
GBD_18_B53_C1_O_0008,3.0
GBD_18_B53_C1_O_0009,5.0
GBD_18_B53_C1_O_0010,4.0
GBD_18_B53_C1_O_0011,2.0
GBD_18_B53_C1_O_0012,4.0
GBD_18_B53_C1_O_0013,5.0
GBD_18_B53_C1_O_0014,3.0
GBD_18_B53_C1_O_0015,7.0
GBD_18_B53_C1_O_0016,3.0
GBD_18_B53_C1_O_0017,4.0
GBD_18_B53_C1_O_0018,5.0
GBD_18_B53_C1_O_0019,6.0
GBD_18_B53_C1_O_0020,7.0
GBD_18_B53_C1_O_0021,4.0
GBD_18_B53_C1_O_0022,4.0
GBD_18_B53_C1_O_0023,5.0
GBD_18_B53_C1_O_0024,4.0
GBD_18_B53_C1_O_0025,6.0
GBD_18_B53_C1_O_0026,6.0
GBD_18_B53_C1_O_0027,8.0
GBD_18_B53_C1_O_0028,6.0
GBD_18_B53_C1_O_0029,7.0
GBD_18_B53_C1_O_0030,7.0
GBD_18_B53_C1_O_0031,6.0
GBD_18_B53_C1_O_0032,6.0
GBD_18_B53_C1_O_0033,6.0
GBD_18_B53_C1_O_0034,7.0
GBD_18_B53_C1_O_0035,6.0
GBD_18_B53_C1_O_0036,10.0
GBD_18_B53_C1_O_0037,5.0
GBD_18_B53_C1_O_0038,8.0
GBD_18_B53_C1_O_0039,5.0
GBD_18_B53_C1_O_0040,5.0
GBD_18_B53_C1_O_0041,5.0
GBD_18_B53_C1_O_0042,6.0
GBD_18_B53_C1_O_0043,8.0
GBD_18_B53_C1_O_0044,8.0
GBD_18_B53_C1_O_0045,8.0
GBD_18_B53_C1_O_0046,4.0
GBD_18_B53_C1_O_0047,5.0
GBD_18_B53_C1_O_0048,5.0
GBD_18_B53_C1_O_0049,7.0
GBD_18_B53_C1_O_0050,4.0
GBD_18_B53_C1_O_0051,3.0
GBD_18_B53_C1_O_0052,3.0
GBD_18_B53_C1_O_0053,5.0
GBD_18_B53_C1_O_0054,4.0
GBD_18_B53_C1_O_0055,4.0
GBD_18_B53_C1_O_0056,4.0
GBD_18_B53_C1_O_0057,5.0
GBD_18_B53_C1_O_0058,5.0
GBD_18_B53_C1_O_0059,4.0
GBD_18_B53_C1_O_0060,3.0
GBD_18_B53_C1_O_0061,4.0
GBD_18_B53_C1_O_0062,4.0
GBD_18_B53_C1_O_0063,4.0
GBD_18_B53_C1_O_0064,5.0
GBD_18_B53_C1_O_0065,5.0
GBD_18_B53_C1_O_0066,4.0
GBD_18_B53_C1_O_0067,4.0
GBD_18_B53_C1_O_0068,5.0
GBD_18_B53_C1_O_0069,8.0
GBD_18_B53_C1_O_0070,6.0
GBD_18_B53_C1_O_0071,7.0
GBD_18_B53_C1_O_0072,6.0
GBD_18_B53_C1_O_0073,7.0
GBD_18_B53_C1_O_0074,7.0
GBD_18_B53_C1_O_0075,6.0
GBD_18_B53_C1_O_0076,8.0
GBD_18_B53_C1_O_0077,7.0
GBD_18_B53_C1_O_0078,9.0
GBD_18_B53_C1_O_0079,8.0
GBD_18_B53_C1_O_0080,8.0
GBD_18_B53_C1_O_0081,9.0
GBD_18_B53_C1_O_0082,5.0
GBD_18_B53_C1_O_0083,7.0
GBD_18_B53_C1_O_0084,7.0
GBD_18_B53_C1_O_0085,7.0
GBD_18_B53_C1_O_0086,9.0
GBD_18_B53_C1_O_0087,8.0
GBD_18_B53_C1_O_0088,8.0
GBD_18_B53_C1_O_0089,7.0
GBD_18_B53_C1_O_0090,8.0
GBD_18_B53_C1_O_0091,4.0
GBD_18_B53_C1_O_0092,4.0
GBD_18_B53_C1_O_0093,4.0
GBD_18_B53_C1_O_0094,2.0
GBD_18_B53_C1_O_0095,3.0
GBD_18_B53_C1_O_0096,3.0
GBD_18_B53_C1_O_0097,3.0
GBD_18_B53_C1_O_0098,2.0
GBD_18_B53_C1_O_0099,4.0
GBD_18_B53_C1_O_0100,4.0
GBD_18_B53_C1_O_0101,4.0
GBD_18_B53_C1_O_0102,5.0
GBD_18_B53_C1_O_0103,4.0
GBD_18_B53_C1_O_0104,5.0
GBD_18_B53_C1_O_0105,3.0
GBD_18_B53_C1_O_0106,4.0
GBD_18_B53_C1_O_0107,4.0
GBD_18_B53_C1_O_0108,5.0
GBD_18_B53_C1_O_0109,7.0
GBD_18_B53_C1_O_0110,5.0
GBD_18_B53_C1_O_0111,4.0
GBD_18_B53_C1_O_0112,4.0
GBD_18_B53_C1_O_0113,4.0
GBD_18_B53_C1_O_0114,4.0
GBD_18_B53_C1_O_0115,4.0
GBD_18_B53_C1_O_0117,5.0
GBD_18_B53_C1_O_0118,4.0
GBD_18_B54_C1_O_0001,2.0
GBD_18_B54_C1_O_0002,2.0
GBD_18_B54_C1_O_0003,7.0
GBD_18_B54_C1_O_0004,5.0
GBD_18_B54_C1_O_0005,2.0
GBD_18_B54_C1_O_0006,4.0
GBD_18_B54_C1_O_0007,3.0
GBD_18_B54_C1_O_0009,1.0
GBD_18_B54_C1_O_0010,5.0
GBD_18_B54_C1_O_0011,4.0
GBD_18_B54_C1_O_0014,5.0
GBD_18_B54_C1_O_0015,3.0
GBD_18_B54_C1_O_0016,3.0
GBD_18_B54_C1_O_0017,3.0
GBD_18_B54_C1_O_0019,2.0
GBD_18_B54_C1_O_0021,4.0
GBD_18_B54_C1_O_0022,4.0
GBD_18_B54_C1_O_0023,3.0
GBD_18_B54_C1_O_0024,5.0
GBD_18_B54_C1_O_0025,4.0
GBD_18_B54_C1_O_0026,8.0
GBD_18_B54_C1_O_0027,5.0
GBD_18_B54_C1_O_0028,5.0
GBD_18_B54_C1_O_0029,4.0
GBD_18_B54_C1_O_0030,2.0
GBD_18_B54_C1_O_0031,8.0
GBD_18_B54_C1_O_0032,6.0
GBD_18_B54_C1_O_0033,7.0
GBD_18_B54_C1_O_0034,9.0
GBD_18_B54_C1_O_0036,9.0
GBD_18_B54_C1_O_0040,3.0
GBD_18_B54_C1_O_0041,4.0
GBD_18_B54_C1_O_0042,2.0
GBD_18_B54_C1_O_0044,1.0
GBD_18_B54_C1_O_0045,3.0
GBD_18_B54_C1_O_0046,4.0
GBD_18_B54_C1_O_0047,5.0
GBD_18_B54_C1_O_0050,3.0
GBD_18_B54_C1_O_0052,4.0
GBD_18_B54_C1_O_0053,4.0
GBD_18_B54_C1_O_0055,4.0
GBD_18_B54_C1_O_0056,3.0
GBD_18_B54_C1_O_0059,6.0
GBD_18_B54_C1_O_0060,9.0
GBD_18_B54_C1_O_0062,4.0
GBD_18_B54_C1_O_0065,4.0
GBD_18_B54_C1_O_0066,2.0
GBD_18_B54_C1_O_0070,3.0
GBD_18_B54_C1_O_0071,3.0
GBD_18_B54_C1_O_0072,2.0
GBD_18_B54_C1_O_0073,3.0
GBD_18_B54_C1_O_0074,2.0
GBD_18_B54_C1_O_0077,4.0
GBD_18_B54_C1_O_0078,3.0
GBD_18_B54_C1_O_0080,3.0
GBD_18_B54_C1_O_0081,5.0
GBD_18_B54_C1_O_0082,6.0
GBD_18_B54_C1_O_0085,3.0
GBD_18_B54_C1_O_0086,4.0
GBD_18_B54_C1_O_0088,3.0
GBD_18_B54_C1_O_0091,4.0
GBD_18_B54_C1_O_0093,2.0
GBD_18_B54_C1_O_0094,2.0
GBD_18_B54_C1_O_0095,7.0
GBD_18_B54_C1_O_0097,4.0
GBD_18_B54_C1_O_0098,8.0
GBD_18_B54_C1_O_0100,4.0
GBD_18_B54_C1_O_0101,5.0
GBD_18_B54_C1_O_0102,2.0
GBD_18_B54_C1_O_0103,3.0
GBD_18_B54_C1_O_0104,5.0
GBD_18_B54_C1_O_0105,2.0
GBD_18_B54_C1_O_0106,8.0
GBD_18_B54_C1_O_0107,4.0
GBD_18_B54_C1_O_0108,6.0
GBD_18_B54_C1_O_0109,4.0
GBD_18_B54_C1_O_0110,2.0
GBD_18_B54_C1_O_0111,3.0
GBD_18_B54_C1_O_0112,4.0
GBD_18_B54_C1_O_0114,5.0
GBD_18_B54_C1_O_0116,4.0
GBD_18_B54_C1_O_0118,7.0
GBD_18_B54_C1_O_0119,5.0
GBD_18_B54_C1_O_0121,4.0
GBD_18_B54_C1_O_0122,5.0
GBD_18_B54_C1_O_0123,5.0
GBD_18_B54_C1_O_0124,4.0
GBD_18_B54_C1_O_0126,2.0
GBD_18_B54_C1_O_0129,4.0
GBD_18_B54_C1_O_0130,4.0
GBD_18_B54_C1_O_0131,4.0
GBD_18_B54_C1_O_0133,4.0
GBD_18_B54_C1_O_0135,9.0
GBD_18_B54_C1_O_0136,8.0
GBD_18_B54_C1_O_0137,5.0
GBD_18_B54_C1_O_0138,2.0
GBD_18_B54_C1_O_0139,4.0
GBD_18_B54_C1_O_0140,4.0
GBD_18_B54_C1_O_0141,5.0
GBD_18_B54_C1_O_0142,10.0
GBD_18_B54_C1_O_0143,6.0
GBD_18_B54_C1_O_0144,5.0
GBD_18_B54_C1_O_0146,8.0
GBD_18_B54_C1_O_0147,4.0
GBD_18_B54_C1_O_0148,5.0
GBD_18_B54_C1_O_0152,4.0
GBD_18_B54_C1_O_0153,3.0
GBD_18_B54_C1_O_0154,5.0
GBD_18_B54_C1_O_0155,2.0
GBD_18_B54_C1_O_0156,3.0
GBD_18_B54_C1_O_0157,2.0
GBD_18_B54_C1_O_0158,4.0
GBD_18_B54_C1_O_0159,3.0
GBD_18_B54_C1_O_0160,4.0
GBD_18_B54_C1_O_0161,3.0
GBD_18_B54_C1_O_0162,4.0
GBD_18_B54_C1_O_0163,4.0
GBD_18_B54_C1_O_0164,3.0
GBD_18_B54_C1_O_0165,2.0
GBD_18_B54_C1_O_0166,2.0
GBD_18_B54_C1_O_0167,4.0
GBD_18_B54_C1_O_0168,5.0
GBD_18_B54_C1_O_0169,5.0
GBD_18_B54_C1_O_0170,5.0
GBD_18_B54_C1_O_0171,4.0
GBD_18_B54_C1_O_0172,4.0
GBD_18_B54_C1_O_0173,2.0
GBD_18_B54_C1_O_0174,2.0
GBD_18_B54_C1_O_0175,3.0
GBD_18_B54_C1_O_0177,11.0
GBD_18_B54_C1_O_0178,2.0
GBD_18_B54_C1_O_0180,5.0
GBD_18_B54_C1_O_0182,4.0
GBD_18_B54_C1_O_0183,5.0
GBD_18_B54_C1_O_0184,7.0
GBD_18_B54_C1_O_0186,4.0
GBD_18_B54_C1_O_0187,3.0
GBD_18_B54_C1_O_0189,4.0
GBD_18_B54_C1_O_0193,4.0
GBD_18_B54_C1_O_0194,5.0
GBD_18_B54_C1_O_0195,4.0
GBD_18_B54_C1_O_0196,5.0
GBD_18_B54_C1_O_0198,7.0
GBD_18_B54_C1_O_0201,4.0
GBD_18_B54_C1_O_0205,2.0
GBD_18_B54_C1_O_0206,2.0
GBD_18_B54_C1_O_0208,3.0
GBD_18_B54_C1_O_0211,8.0
GBD_18_B54_C1_O_0213,3.0
GBD_18_B54_C1_O_0214,4.0
GBD_18_B54_C1_O_0215,5.0
GBD_18_B54_C1_O_0216,5.0
GBD_18_B54_C1_O_0217,4.0
GBD_18_B54_C1_O_0218,7.0
GBD_18_B54_C1_O_0219,4.0
GBD_18_B54_C1_O_0220,8.0
GBD_18_B54_C1_O_0221,3.0
GBD_18_B54_C1_O_0222,3.0
GBD_18_B54_C1_O_0223,2.0
GBD_18_B54_C1_O_0224,4.0
GBD_18_B54_C1_O_0225,5.0
GBD_18_B54_C1_O_0226,5.0
GBD_18_B54_C1_O_0228,5.0
GBD_18_B54_C1_O_0229,4.0
GBD_18_B54_C1_O_0230,5.0
GBD_18_B54_C1_O_0231,3.0
GBD_18_B54_C1_O_0232,5.0
GBD_18_B54_C1_O_0233,5.0
GBD_18_B54_C1_O_0234,4.0
GBD_18_B54_C1_O_0235,4.0
GBD_18_B54_C1_O_0237,5.0
GBD_18_B54_C1_O_0238,7.0
GBD_18_B54_C1_O_0240,8.0
GBD_18_B54_C1_O_0242,4.0
GBD_18_B54_C1_O_0243,1.0
GBD_18_B54_C1_O_0245,6.0
GBD_18_B54_C1_O_0246,2.0
GBD_18_B55_C1_O_0001,8.0
GBD_18_B55_C1_O_0002,4.0
GBD_18_B55_C1_O_0003,4.0
GBD_18_B55_C1_O_0004,7.0
GBD_18_B55_C1_O_0005,1.0
GBD_18_B55_C1_O_0006,3.0
GBD_18_B55_C1_O_0007,4.0
GBD_18_B55_C1_O_0008,4.0
GBD_18_B55_C1_O_0009,5.0
GBD_18_B55_C1_O_0010,4.0
GBD_18_B55_C1_O_0011,4.0
GBD_18_B55_C1_O_0012,5.0
GBD_18_B55_C1_O_0014,4.0
GBD_18_B55_C1_O_0016,3.0
GBD_18_B55_C1_O_0017,4.0
GBD_18_B55_C1_O_0018,9.0
GBD_18_B55_C1_O_0019,5.0
GBD_18_B55_C1_O_0021,6.0
GBD_18_B55_C1_O_0022,4.0
GBD_18_B55_C1_O_0023,3.0
GBD_18_B55_C1_O_0024,3.0
GBD_18_B55_C1_O_0025,4.0
GBD_18_B55_C1_O_0026,4.0
GBD_18_B55_C1_O_0027,5.0
GBD_18_B55_C1_O_0028,4.0
GBD_18_B55_C1_O_0029,8.0
GBD_18_B55_C1_O_0030,4.0
GBD_18_B55_C1_O_0033,4.0
GBD_18_B55_C1_O_0034,4.0
GBD_18_B55_C1_O_0035,3.0
GBD_18_B55_C1_O_0036,2.0
GBD_18_B55_C1_O_0037,2.0
GBD_18_B55_C1_O_0038,3.0
GBD_18_B55_C1_O_0039,3.0
GBD_18_B55_C1_O_0040,5.0
GBD_18_B55_C1_O_0041,2.0
GBD_18_B55_C1_O_0042,2.0
GBD_18_B55_C1_O_0043,2.0
GBD_18_B55_C1_O_0044,3.0
GBD_18_B55_C1_O_0045,4.0
GBD_18_B55_C1_O_0046,2.0
GBD_18_B55_C1_O_0047,2.0
GBD_18_B55_C1_O_0048,5.0
GBD_18_B55_C1_O_0049,2.0
GBD_18_B55_C1_O_0050,3.0
GBD_18_B55_C1_O_0051,4.0
GBD_18_B55_C1_O_0052,3.0
GBD_18_B55_C1_O_0053,7.0
GBD_18_B55_C1_O_0055,2.0
GBD_18_B55_C1_O_0056,2.0
GBD_18_B55_C1_O_0057,3.0
GBD_18_B55_C1_O_0058,5.0
GBD_18_B55_C1_O_0059,2.0
GBD_18_B55_C1_O_0060,5.0
GBD_18_B55_C1_O_0061,7.0
GBD_18_B55_C1_O_0062,6.0
GBD_18_B55_C1_O_0063,7.0
GBD_18_B59_C1_O_0001,2.0
GBD_18_B59_C1_O_0002,4.0
GBD_18_B59_C1_O_0003,5.0
GBD_18_B59_C1_O_0004,4.0
GBD_18_B59_C1_O_0005,4.0
GBD_18_B59_C1_O_0006,4.0
GBD_18_B59_C1_O_0007,3.0
GBD_18_B59_C1_O_0008,1.0
GBD_18_B59_C1_O_0009,3.0
GBD_18_B59_C1_O_0010,4.0
GBD_18_B59_C1_O_0011,2.0
GBD_18_B59_C1_O_0012,3.0
GBD_18_B59_C1_O_0013,3.0
GBD_18_B59_C1_O_0014,4.0
GBD_18_B59_C1_O_0015,4.0
GBD_18_B59_C1_O_0016,5.0
GBD_18_B59_C1_O_0017,2.0
GBD_18_B59_C1_O_0018,1.0
GBD_18_B59_C1_O_0019,2.0
GBD_18_B59_C1_O_0020,3.0
GBD_18_B59_C1_O_0021,6.0
GBD_18_B59_C1_O_0022,5.0
GBD_18_B59_C1_O_0023,5.0
GBD_18_B59_C1_O_0024,3.0
GBD_18_B59_C1_O_0025,1.0
GBD_18_B59_C1_O_0027,2.0
GBD_18_B59_C1_O_0028,4.0
GBD_18_B59_C1_O_0029,4.0
GBD_18_B59_C1_O_0031,2.0
GBD_18_B59_C1_O_0032,4.0
GBD_18_B59_C1_O_0033,3.0
GBD_18_B59_C1_O_0034,7.0
GBD_18_B59_C1_O_0035,2.0
GBD_18_B59_C1_O_0036,5.0
GBD_18_B59_C1_O_0037,4.0
GBD_18_B59_C1_O_0038,4.0
GBD_18_B59_C1_O_0039,6.0
GBD_18_B59_C1_O_0040,5.0
GBD_18_B59_C1_O_0041,7.0
GBD_18_B59_C1_O_0042,5.0
GBD_18_B59_C1_O_0043,3.0
GBD_18_B59_C1_O_0044,5.0
GBD_18_B59_C1_O_0045,2.0
GBD_18_B59_C1_O_0046,8.0
GBD_18_B59_C1_O_0047,5.0
GBD_18_B59_C1_O_0048,2.0
GBD_18_B59_C1_O_0049,3.0
GBD_18_B59_C1_O_0050,8.0
GBD_18_B59_C1_O_0051,4.0
GBD_18_B59_C1_O_0052,4.0
GBD_18_B59_C1_O_0053,3.0
GBD_18_B59_C1_O_0055,5.0
GBD_18_B59_C1_O_0056,3.0
GBD_18_B59_C1_O_0057,4.0
GBD_18_B59_C1_O_0058,2.0
GBD_18_B59_C1_O_0059,4.0
GBD_18_B59_C1_O_0060,2.0
GBD_18_B59_C1_O_0061,4.0
GBD_18_B59_C1_O_0062,2.0
GBD_18_B59_C1_O_0063,3.0
GBD_18_B59_C1_O_0064,4.0
GBD_18_B59_C1_O_0065,7.0
GBD_18_B59_C1_O_0066,8.0
GBD_18_B59_C1_O_0067,3.0
GBD_18_B59_C1_O_0068,3.0
GBD_18_B59_C1_O_0069,2.0
GBD_18_B59_C1_O_0070,4.0
GBD_18_B59_C1_O_0071,2.0
GBD_18_B59_C1_O_0072,3.0
GBD_18_B59_C1_O_0073,6.0
GBD_18_B59_C1_O_0074,5.0
GBD_18_B59_C1_O_0075,4.0
GBD_18_B59_C1_O_0078,2.0
GBD_18_B59_C1_O_0079,2.0
GBD_18_B59_C1_O_0080,2.0
GBD_18_B59_C1_O_0081,2.0
GBD_18_B59_C1_O_0082,2.0
GBD_18_B59_C1_O_0083,1.0
GBD_18_B59_C1_O_0084,4.0
GBD_18_B59_C1_O_0085,4.0
GBD_18_B59_C1_O_0086,4.0
GBD_18_B59_C1_O_0087,1.0
GBD_18_B59_C1_O_0088,9.0
GBD_18_B59_C1_O_0089,7.0
GBD_18_B59_C1_O_0090,9.0
GBD_18_B59_C1_O_0091,6.0
GBD_18_B59_C1_O_0092,9.0
GBD_18_B59_C1_O_0093,7.0
GBD_18_B59_C1_O_0094,9.0
GBD_18_B59_C1_O_0095,6.0
GBD_18_B59_C1_O_0096,5.0
GBD_18_B59_C1_O_0097,10.0
GBD_18_B59_C1_O_0098,8.0
GBD_18_B59_C1_O_0099,6.0
GBD_18_B59_C1_O_0100,8.0
GBD_18_B59_C1_O_0101,8.0
GBD_18_B59_C1_O_0102,11.0
GBD_18_B59_C1_O_0103,8.0
GBD_18_B59_C1_O_0104,4.0
GBD_18_B59_C1_O_0105,4.0
GBD_18_B59_C1_O_0106,7.0
GBD_18_B59_C1_O_0107,4.0
GBD_18_B59_C1_O_0108,4.0
GBD_18_B59_C1_O_0109,4.0
GBD_18_B59_C1_O_0110,6.0
GBD_18_B59_C1_O_0111,5.0
GBD_18_B59_C1_O_0112,8.0
GBD_18_B59_C1_O_0113,5.0
GBD_18_B59_C1_O_0114,4.0
GBD_18_B59_C1_O_0115,3.0
GBD_18_B59_C1_O_0116,5.0
GBD_18_B59_C1_O_0117,4.0
GBD_18_B59_C1_O_0118,4.0
GBD_18_B59_C1_O_0119,7.0
GBD_18_B59_C1_O_0120,7.0
GBD_18_B59_C1_O_0121,6.0
GBD_18_B59_C1_O_0122,7.0
GBD_18_B59_C1_O_0123,3.0
GBD_18_B59_C1_O_0124,2.0
GBD_18_B59_C1_O_0125,2.0
GBD_18_B59_C1_O_0126,5.0
GBD_18_B59_C1_O_0127,2.0
GBD_18_B59_C1_O_0128,4.0
GBD_18_B59_C1_O_0129,2.0
GBD_18_B59_C1_O_0130,4.0
GBD_18_B59_C1_O_0131,4.0
GBD_18_B59_C1_O_0132,2.0
GBD_18_B59_C1_O_0133,2.0
GBD_18_B59_C1_O_0134,2.0
GBD_18_B59_C1_O_0135,4.0
GBD_18_B59_C1_O_0136,4.0
GBD_18_B59_C1_O_0137,1.0
GBD_18_B59_C1_O_0138,1.0
GBD_18_B59_C1_O_0139,4.0
GBD_18_B59_C1_O_0140,2.0
GBD_18_B59_C1_O_0141,2.0
GBD_18_B59_C1_O_0142,3.0
GBD_18_B59_C1_O_0143,1.0
GBD_18_B59_C1_O_0144,3.0
GBD_18_B59_C1_O_0145,4.0
GBD_18_B59_C1_O_0146,2.0
GBD_18_B59_C1_O_0147,1.0
GBD_18_B59_C1_O_0148,2.0
GBD_18_B59_C1_O_0149,4.0
